_id,No,自治体名,名称,郵便番号,所在地,電話番号,緯度,経度
1,1,豊橋市,飯村公園,,豊橋市飯村南四丁目5-1,,34.741341,137.425339
2,1,豊橋市,小鷹野公園,,豊橋市西小鷹野二丁目7-1,,34.771275,137.424408
3,1,豊橋市,桜ケ丘公園,,豊橋市東田町字北蓮田19他,,34.763733,137.406601
4,1,豊橋市,三本松公園,,豊橋市東森岡二丁目2-1,,34.786491,137.432205
5,1,豊橋市,高師本郷公園,,豊橋市高師本郷町字東上27-2他,,34.719139,137.396103
6,1,豊橋市,多米公園,,豊橋市多米中町一丁目6-1,,34.759296,137.442596
7,1,豊橋市,坪ノ谷公園,,豊橋市富士見台四丁目16-1,,34.67714969,137.3696995
8,1,豊橋市,中山田池公園,,豊橋市北山町95-13他,,34.736317,137.400269
9,1,豊橋市,半ノ木公園,,豊橋市忠興三丁目9-1,,34.783417,137.431808
10,1,豊橋市,牟呂大海津公園,,豊橋市牟呂大西町2-11,,34.756317,137.358612
11,1,豊橋市,竜ケ池公園,,豊橋市山田三番町42,,34.741256,137.398202
12,1,豊橋市,牛川遊歩公園,,豊橋市西小鷹野四丁目1-1､南牛川二丁目4-1,,34.775578,137.425247
13,1,豊橋市,高師緑地,,豊橋市高師町字北原29-1他,,34.741856,137.41217
14,1,豊橋市,豊橋公園,,豊橋市今橋町3-1他,,34.769997,137.397202
15,1,豊橋市,豊橋総合動植物公園,,豊橋市大岩町字大穴1-238,,34.71888,137.437241
16,1,豊橋市,幸公園,,豊橋市佐藤町字池下49､3-1､字江島､高師町字北原1-108､東幸町,,34.738881,137.40938
17,1,豊橋市,向山緑地,,豊橋市向山大池町､向山東町､向山町字池下45-2他,,34.757212,137.404541
18,1,豊橋市,岩田運動公園,,豊橋市岩田町1-2他,,34.7581013,137.4245186
19,1,豊橋市,豊橋総合ｽﾎﾟｰﾂ公園,,豊橋市神野新田町字ﾒﾉ割1-3他,,34.75798,137.323807
20,1,豊橋市,明海公園,,豊橋市明海町3-42他,,34.710247,137.333572
21,1,豊橋市,赤岩山緑地,,豊橋市多米町字赤岩山1-3,,34.762307,137.451458
22,1,豊橋市,岩屋緑地,,豊橋市大岩町字火打坂19他,,34.72963,137.428787
23,1,豊橋市,下地緑地,,豊橋市下地町字城向15-1他,,34.778336,137.382675
